Year,NATURE,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 2,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 2,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,,5.07863
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 2,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,,1.56766
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Male,Rural,Quintile 2,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,88.44535
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,85.03213
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,88.01761
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,87.88467
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,61.19593
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,69.62549
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,66.8089
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,47.91163
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,,2.12264
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,,6.08218
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,,6.02215
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Male,Rural,Quintile 3,Upper secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,84.52309
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,87.36115
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,89.38767
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Primary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,86.32106
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,61.65514
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Male,Rural,Quintile 4,Lower secondary education,Country Data,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,73.70198
